,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
83,집에 손님들 와서 안주로 다같이 먹었는데 다들 맛있다고 난리~~ 너무 맛있어용,5,2024.02.20.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,적당해요,맛있어요
84,맛있어요! 떡볶이 맛 까진 아닌데 매콤하니 간식으로 딱,5,2024.02.20.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
85,"아이가
먹고 싶어해서 구매했어요 잘먹네요",5,2024.02.19.,수량: 1Box(12개입) / 맛선택: 기본맛,,아주 넉넉해요,꼼꼼해요,맛있어요
86,"배송 빠르구요. 
치즈가래떡볶이떡 맛있어요!",5,2024.02.19.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
87,"배송이 빠르고
떡볶이떡은 좀 매워요.
치즈떡은 따뜻하게 데워 먹으면 덜 맵고 맛있어요!",5,2024.02.19.,수량: 1Box(12개입) / 맛선택: 기본맛,,아주 넉넉해요,꼼꼼해요,맛있어요
88,떡볶이 맛이나는 신기한 떡!! 넘 맛나요 ㅎㅎ,5,2024.02.18.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,적당해요,맛있어요
89,생각보다 더ㅜ맛있어요 아들이ㅜ좋아합니다,5,2024.02.18.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
90,쫀득하고 매콤한 맛에 계속 끌려요 아침밥 대용으로도 딱이고 너무 맛있네요 단점은 비싸다는게 단점이에유,5,2024.02.17.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
91,항상 맛나요  떠먹고 싶어요 ㅌㅋ,4,2024.02.17.,수량: 2Box(24개입) / 맛선택: 치즈맛,,꽤 남았어요,적당해요,맛있어요
92,맛있어요 근데 아무래도 조미료맛이..아쉽습니다,5,2024.02.17.,수량: 1Box(12개입) / 맛선택: 치즈맛,,아주 넉넉해요,꼼꼼해요,맛있어요
93,떡볶이맛이 생각보다 강하고 조금 매운편입니다.,5,2024.02.17.,수량: 1Box(12개입) / 맛선택: 기본맛,,꽤 남았어요,적당해요,맛있어요
94,호불호 있는맛인가봐요~~평들이 너무 좋아 맛있는줄~~저희 아이 입에는별루라고하네요ㅜ,3,2024.02.17.,수량: 1Box(12개입) / 맛선택: 기본맛,,평범해요,꽤 남았어요,적당해요
95,올해 중2되는 둘째가 먹고싶다고 주문을했어요..배송비도있고해서 치즈오리지날 각12개씩 24개주문~~설마했는데ㅜ 오리지날별루~치즈는 걍걍 먹을만하다고해요..배송온날 하나씩 먹고 일주지난 지금 냉동고 차지만 하고있네요...근데 후기에는 왜케 평들이 좋았던 걸까요? 호불호없는 맛인줄 알았어요..평들이 너~무 좋아서요..,3,2024.02.17.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
96,존맛탱구리에요 살짝 매콤하니 달달한 떡볶이 맛이에요 너무 맛있어요,5,2024.02.16.,수량: 1Box(12개입) / 맛선택: 치즈맛,구매자거주인원 1인싱글,아주 넉넉해요,꼼꼼해요,맛있어요
97,맛있는데 질려요 참고해요,5,2024.02.16.,수량: 1Box(12개입) / 맛선택: 치즈맛,,평범해요,꽤 남았어요,적당해요
98,빠른 배송 감사합니다,5,2024.02.15.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,적당해요,맛있어요
99,매콤하지만 맛이ㅛ어요,5,2024.02.15.,수량: 1Box(12개입) / 맛선택: 치즈맛,,꽤 남았어요,꼼꼼해요,맛있어요
